episode,s_0,s_1,s_2,s_3,s_4,s_5,s_6,action,d_0,d_1,d_2,d_3,d_4,d_5
11,0.21552435,0.008826291,3.7234468,7.867813e-06,300.0609,300.0608,-16.478098,-18.558895,0.0034368336,2.7939677e-09,0.008230686,0.0,0.03857422,0.03857422
11,0.21896118,0.008826294,3.7316775,7.867813e-06,300.0995,300.09937,-18.558895,-16.621141,0.0030779839,2.7939677e-09,0.018389463,4.7683716e-07,0.085357666,0.085357666
11,0.22203916,0.008826297,3.750067,8.34465e-06,300.18484,300.18472,-16.621141,-17.500397,0.0032408237,2.7939677e-09,-0.0089559555,-4.7683716e-07,0.027679443,0.027679443
11,0.22527999,0.0088263,3.741111,7.867813e-06,300.21252,300.2124,-17.500397,-15.404394,0.0028526634,1.8626451e-09,0.009281635,2.3841858e-07,0.044708252,0.044708252
11,0.22813265,0.008826301,3.7503927,8.106232e-06,300.25723,300.2571,-15.404394,-9.247029,0.0017124116,9.313226e-10,-0.0122003555,-9.536743e-07,-0.011932373,-0.011932373
11,0.22984506,0.008826302,3.7381923,7.1525574e-06,300.2453,300.24518,-9.247029,-27.792208,0.005146697,3.7252903e-09,-0.052139044,-2.1457672e-06,-0.14056396,-0.14053345
11,0.23499176,0.008826306,3.6860533,5.00679e-06,300.10474,300.10464,-27.792208,-10.43478,0.0019323677,9.313226e-10,0.13584876,4.053116e-06,0.33633423,0.33633423
11,0.23692413,0.008826307,3.821902,9.059906e-06,300.44107,300.44098,-10.43478,-1.9477441,0.0003606975,-1.8626451e-09,-0.109936476,-3.5762787e-06,-0.13693237,-0.13696289
11,0.23728482,0.008826305,3.7119656,5.4836273e-06,300.30414,300.30402,-1.9477441,-10.213578,0.0018914044,-2.7939677e-09,-0.10223794,-4.2915344e-06,-0.24240112,-0.2423706
11,0.23917623,0.008826302,3.6097276,1.1920929e-06,300.06174,300.06165,-10.213578,-16.968626,0.003142342,9.313226e-10,0.07852316,0.0,-0.11401367,-0.113983154
11,0.24231857,0.008826303,3.6882508,1.1920929e-06,299.94772,299.94766,-16.968626,-3.3905246,0.0006278753,-9.313226e-10,0.056477547,2.3841858e-06,0.03591919,0.03591919
11,0.24294645,0.008826302,3.7447283,3.5762787e-06,299.98364,299.98358,-3.3905246,-18.668932,0.0034572035,1.8626451e-09,-0.118834734,-2.1457672e-06,-0.1951294,-0.1951294
11,0.24640365,0.008826304,3.6258936,1.4305115e-06,299.7885,299.78845,-18.668932,-13.017259,0.0024106055,1.8626451e-09,0.1311109,2.3841858e-06,0.090026855,0.09005737
11,0.24881425,0.008826306,3.7570045,3.8146973e-06,299.87854,299.8785,-13.017259,-19.723791,0.0036525428,3.7252903e-09,-0.030482054,2.1457672e-06,-0.03717041,-0.03717041
11,0.2524668,0.00882631,3.7265224,5.9604645e-06,299.84137,299.84134,-19.723791,-20.480612,0.0037927032,4.656613e-09,0.05485487,2.6226044e-06,0.12197876,0.12194824
11,0.2562595,0.0088263145,3.7813773,8.583069e-06,299.96335,299.9633,-20.480612,-27.653835,0.005121082,6.519258e-09,0.018020391,1.1920929e-06,0.13790894,0.13790894
11,0.26138058,0.008826321,3.7993977,9.775162e-06,300.10126,300.1012,-27.653835,-13.017162,0.0024105906,9.313226e-10,0.06271005,3.0994415e-06,0.34655762,0.3465271
11,0.26379117,0.008826322,3.8621078,1.2874603e-05,300.4478,300.44772,-13.017162,-7.8757205,0.001458466,-9.313226e-10,-0.09104109,-5.2452087e-06,-0.080566406,-0.080566406
11,0.26524964,0.008826321,3.7710667,7.6293945e-06,300.36725,300.36716,-7.8757205,-17.639078,0.0032665133,0.0,-0.054008007,-3.0994415e-06,-0.17733765,-0.17730713
11,0.26851615,0.008826321,3.7170587,4.529953e-06,300.1899,300.18985,-17.639078,-19.400244,0.0035926402,2.7939677e-09,0.07556319,9.536743e-07,0.035003662,0.034973145
